time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
260000,-434,921,257,-954,129,101,58,1038,0,0
260015,-444,921,257,-963,138,111,58,1019,-29,0
260031,-444,921,257,-963,138,121,29,1019,-38,0
260046,-414,901,267,-963,138,111,29,1019,-38,0
260062,-414,901,267,-954,157,101,48,1000,-29,0
260078,-414,911,247,-954,138,111,48,990,-29,0
260093,-414,911,247,-945,120,111,38,1009,-48,0
260109,-424,911,247,-954,138,90,38,1028,-58,0
260125,-424,911,247,-954,129,101,38,1000,-48,0
260140,-454,911,267,-963,138,111,29,1009,-38,0
260156,-454,911,267,-954,129,80,48,1009,-38,0
260171,-434,921,267,-945,148,90,48,1000,-67,0
260187,-434,921,267,-945,148,90,19,1019,-48,0
260203,-434,921,237,-963,148,90,29,1019,-58,0
260218,-434,921,237,-963,157,101,19,1009,-48,0
260234,-434,911,267,-954,138,90,9,1000,-38,0
260250,-434,911,267,-954,157,80,9,1000,-38,0
260265,-434,911,257,-954,138,111,29,1009,-48,0
260281,-424,901,267,-954,148,90,38,1000,-58,0
260296,-424,901,267,-963,138,90,38,1019,-48,0
260312,-434,911,257,-963,148,111,29,1019,-77,0
260328,-414,911,247,-954,157,111,38,1000,-67,0
260343,-414,911,247,-954,129,101,29,990,-38,0
260359,-434,921,267,-963,148,111,29,1028,-67,0
260375,-434,921,267,-963,148,101,29,1000,-48,0
260390,-434,921,237,-954,138,121,9,1009,-29,0
260406,-434,911,257,-963,138,111,29,1028,-48,0
260421,-434,911,257,-963,138,111,19,1000,-48,0
260437,-424,911,267,-945,120,121,19,1009,-48,0
260453,-434,901,257,-945,138,80,29,1019,-67,0
260468,-434,901,257,-972,129,90,29,1009,-67,0
260484,-434,901,267,-963,129,121,19,1019,-67,0
260500,-434,931,217,-963,129,101,29,1009,-58,0
260515,-434,931,217,-954,138,121,29,1009,-67,0
260531,-424,911,267,-963,138,121,29,1009,-67,0
260546,-424,911,267,-954,157,101,29,1028,-48,0
260562,-414,911,257,-954,138,101,19,1028,-58,0
260578,-424,901,277,-963,129,111,29,1028,-67,0
260593,-434,911,257,-972,148,121,29,1019,-67,0
260609,-434,921,257,-954,120,101,29,1019,-58,0
260625,-444,911,257,-963,129,111,29,1019,-77,0
260640,-444,911,257,-972,148,101,48,1000,-58,0
260656,-434,921,267,-963,138,111,48,1009,-38,0
260671,-434,921,257,-954,138,111,29,1019,-38,0
260687,-434,921,257,-963,138,90,48,1009,-67,0
260703,-444,911,257,-963,148,80,38,1019,-67,0
260718,-434,921,247,-963,129,111,38,1009,-77,0
260734,-434,921,247,-963,148,121,29,1028,-58,0
260750,-434,911,247,-963,138,101,38,1019,-48,0
260765,-434,911,267,-945,138,101,29,1019,-67,0
260781,-444,901,247,-954,148,101,48,1000,-58,0
260796,-444,901,247,-954,138,121,38,1019,-77,0
260812,-424,921,227,-954,138,121,29,1019,-67,0
260828,-424,911,257,-963,129,101,48,1009,-58,0
260843,-414,921,257,-963,138,101,38,1009,-38,0
260859,-434,921,257,-954,138,101,29,1009,-38,0
260875,-434,892,267,-963,157,80,38,1019,-48,0
260890,-434,931,237,-963,129,101,29,1009,-48,0
260906,-424,911,287,-954,148,101,29,1038,-67,0
260921,-434,901,257,-954,148,121,38,1009,-29,0
260937,-434,911,277,-945,129,111,58,1000,-48,0
260953,-434,892,247,-963,148,80,48,980,-58,0
260968,-434,921,257,-963,148,80,48,1019,-58,0
260984,-434,911,257,-954,120,111,48,1009,-48,0
261000,-424,911,257,-963,138,111,48,1009,-48,0
261015,-434,921,237,-954,129,90,48,1019,-48,0
261031,-434,911,257,-945,129,111,58,1009,-48,0
261046,-414,901,267,-945,120,90,58,1009,-48,0
261062,-444,921,267,-963,129,90,38,1019,-38,0
261078,-414,892,247,-963,138,90,58,1028,-67,0
261093,-434,901,267,-954,129,101,67,1009,-38,0
261109,-424,911,257,-963,138,121,38,1028,-29,0
261125,-434,911,257,-954,148,90,48,1028,-67,0
261140,-424,921,237,-954,129,111,48,1019,-67,0
261156,-444,892,267,-963,138,111,48,1009,-48,0
261171,-424,931,257,-954,148,101,48,1000,-9,0
261187,-444,921,247,-963,129,101,58,1000,-38,0
261203,-434,911,257,-954,148,80,48,1019,-38,0
261218,-424,882,277,-963,148,101,58,1019,-67,0
261234,-434,901,257,-954,148,90,58,1009,-38,0
261250,-424,921,267,-945,129,101,38,1019,-58,0
261265,-434,911,277,-963,148,101,58,1019,-58,0
261281,-434,911,277,-954,138,80,38,1009,-58,0
261296,-444,911,267,-963,129,121,48,1009,-58,0
261312,-444,882,287,-963,138,111,48,1009,-58,0
261328,-424,911,257,-963,138,101,67,990,-29,0
261343,-444,921,257,-972,138,111,48,1028,-38,0
261359,-424,882,267,-963,148,101,58,1028,-67,0
261375,-434,901,267,-963,129,121,58,1000,-48,0
261390,-444,901,277,-954,129,80,48,1009,-38,0
261406,-424,901,267,-954,129,101,58,1009,-58,0
261421,-424,911,247,-963,138,111,48,1019,-48,0
261437,-434,911,277,-954,148,131,38,1019,-29,0
261453,-434,911,277,-954,138,90,38,1019,-58,0
261468,-424,911,267,-954,138,80,48,1019,-58,0
261484,-444,911,247,-963,138,111,48,1009,-29,0
261500,-434,901,247,-954,157,80,48,1009,-67,0
261515,-424,901,257,-954,129,111,48,1009,-38,0
261531,-434,892,287,-963,138,111,67,1009,-29,0
261546,-424,921,267,-963,138,101,58,1028,-19,0
261562,-424,901,247,-954,138,111,48,1000,-48,0
261578,-444,921,237,-972,129,121,48,1019,-58,0
261593,-424,911,257,-963,148,101,48,1028,-29,0
261609,-444,892,277,-954,129,101,48,1028,-58,0
261625,-424,892,277,-963,138,111,48,1019,-38,0
261640,-444,921,257,-963,138,131,58,1019,-48,0
261656,-424,921,257,-954,138,111,38,1009,-48,0
261671,-424,911,287,-963,129,121,48,1000,-38,0
261687,-434,921,277,-963,138,80,48,1000,-38,0
261703,-424,911,277,-954,138,90,58,1028,-58,0
261718,-434,921,257,-963,129,121,58,1009,-58,0
261734,-434,911,237,-963,129,121,58,1019,-38,0
261750,-444,911,267,-954,120,101,48,1028,-58,0
261765,-434,901,257,-954,120,101,67,1000,-38,0
261781,-444,921,257,-954,129,101,48,1019,-48,0
261796,-434,901,277,-954,129,111,38,1009,-48,0
261812,-434,911,267,-963,138,111,29,1009,-19,0
261828,-414,911,267,-954,138,101,48,1019,-58,0
261843,-434,901,267,-954,138,101,58,1009,-48,0
261859,-454,911,267,-963,138,121,48,1019,-58,0
261875,-454,901,267,-954,138,90,67,1009,-58,0
261890,-444,931,247,-954,129,90,67,1019,-67,0
261906,-424,901,257,-963,148,101,48,1009,-29,0
261921,-444,921,257,-963,148,101,58,1000,-38,0
261937,-434,921,247,-954,129,121,58,1009,-38,0
261953,-434,901,247,-963,129,121,29,1019,-38,0
261968,-444,911,277,-945,129,121,58,1019,-48,0
261984,-434,911,257,-954,138,121,58,1009,-58,0
262000,-434,901,267,-963,129,101,38,1019,-58,0
262015,-444,911,277,-963,138,101,58,1019,-29,0
262031,-414,911,267,-963,148,90,58,1009,-38,0
262046,-454,921,277,-954,148,80,48,1009,-48,0
262062,-424,931,267,-972,138,111,58,1009,-58,0
262078,-424,921,247,-963,138,90,58,1009,-38,0
262093,-434,911,267,-954,129,131,48,1019,-29,0
262109,-434,901,257,-963,129,111,58,1019,-48,0
262125,-444,911,247,-963,138,101,58,1009,-38,0
262140,-444,901,247,-954,129,90,48,990,-38,0
262156,-434,911,267,-963,138,101,58,1019,-58,0
262171,-434,911,277,-954,129,111,48,1009,-19,0
262187,-444,901,247,-963,148,80,38,1028,-38,0
262203,-434,911,277,-954,138,101,58,1019,-67,0
262218,-434,921,247,-963,138,101,58,1000,-48,0
262234,-424,901,257,-954,148,80,58,1009,-29,0
262250,-424,911,277,-963,129,131,48,1028,-38,0
262265,-444,911,267,-954,129,131,58,1000,-38,0
262281,-434,921,247,-963,138,121,48,1019,-48,0
262296,-434,892,257,-963,129,101,58,1019,-38,0
262312,-434,892,257,-972,138,111,58,1019,-29,0
262328,-444,911,267,-963,129,90,38,1009,-38,0
262343,-444,921,267,-954,148,80,58,1019,-58,0
262359,-444,921,257,-972,138,111,58,1019,-38,0
262375,-434,911,267,-963,138,121,48,1028,-29,0
262390,-424,901,267,-954,138,101,29,1028,-48,0
262406,-434,901,277,-963,129,101,58,1009,-48,0
262421,-424,921,257,-945,129,101,38,1019,-29,0
262437,-434,911,267,-954,138,121,48,1019,-48,0
262453,-434,901,267,-954,120,90,67,1009,-29,0
262468,-424,892,267,-954,138,101,67,990,-38,0
262484,-444,921,257,-954,148,90,48,1019,-48,0
262500,-444,921,257,-954,129,111,48,1000,-38,0
262515,-434,911,267,-963,138,111,58,1009,-48,0
262531,-424,921,247,-954,138,90,58,1028,-48,0
262546,-434,931,257,-954,138,101,58,1038,-48,0
262562,-434,931,257,-954,138,101,38,1019,-29,0
262578,-424,911,257,-963,129,111,58,1019,-67,0
262593,-424,901,267,-954,148,90,48,1000,-48,0
262609,-434,911,277,-954,138,90,29,1028,-38,0
262625,-434,911,277,-954,138,90,58,1019,-38,0
262640,-434,911,277,-954,138,101,58,1009,-38,0
262656,-434,911,277,-963,148,90,58,1038,-19,0
262671,-434,911,277,-954,120,101,48,1028,-29,0
262687,-444,911,257,-954,120,121,48,1038,-48,0
262703,-414,901,257,-963,129,101,48,1028,-38,0
262718,-414,901,257,-954,129,111,58,1019,-38,0
262734,-424,911,257,-972,138,90,48,1019,-48,0
262750,-424,901,277,-963,138,111,67,1009,-29,0
262765,-424,901,277,-954,129,101,58,1019,-48,0
262781,-424,901,277,-963,129,111,48,1019,-38,0
262796,-424,901,277,-945,138,111,48,1019,-38,0
262812,-424,901,277,-954,138,131,38,1019,-29,0
262828,-434,921,247,-963,138,111,38,1038,-29,0
