time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
600000,50,1019,19,-272,953,-50,300,961,-19,0
600015,30,1039,19,-263,953,-50,291,961,0,0
600031,50,1029,19,-263,953,-40,300,971,0,0
600046,50,1029,9,-263,953,-50,300,971,9,0
600062,50,1029,0,-281,962,-70,310,952,-19,0
600078,60,1029,19,-263,972,-60,291,980,0,0
600093,60,1029,19,-254,953,-40,300,971,-19,0
600109,70,1019,29,-245,962,-50,320,980,0,0
600125,40,1049,29,-245,953,-30,310,971,-9,0
600140,40,1029,9,-236,944,-40,300,980,0,0
600156,40,1049,9,-254,953,-50,310,971,-19,0
600171,60,1039,-9,-254,953,-50,300,971,-9,0
600187,40,1058,19,-263,962,-50,291,980,29,0
600203,50,1039,19,-254,962,-40,300,971,-9,0
600218,50,1039,0,-254,953,-50,300,971,0,0
600234,40,1029,9,-263,944,-50,291,971,-9,0
600250,40,1039,0,-272,953,-60,310,952,-19,0
600265,40,1049,-9,-254,953,-40,300,961,-19,0
600281,50,1039,9,-254,962,-40,281,971,-9,0
600296,50,1058,0,-254,953,-30,281,1000,-38,0
600312,50,1029,0,-245,972,-30,271,980,-19,0
600328,40,1039,9,-263,972,-40,281,971,-29,0
600343,50,1039,0,-254,944,-60,271,971,-19,0
600359,30,1039,29,-254,962,-50,271,980,-19,0
600375,40,1039,19,-254,962,-50,271,980,-19,0
600390,40,1029,9,-254,944,-60,271,971,-19,0
600406,30,1029,9,-254,935,-50,262,971,-19,0
600421,40,1039,-9,-272,953,-50,271,980,-19,0
600437,40,1029,0,-272,953,-50,271,980,-29,0
600453,40,1039,0,-272,953,-70,252,1009,-9,0
600468,40,1029,-9,-272,953,-50,252,990,-19,0
600484,30,1039,0,-272,953,-60,252,971,-29,0
600500,40,1029,0,-263,944,-70,242,980,-48,0
600515,50,1019,-19,-263,944,-70,252,961,-38,0
600531,50,1029,-9,-272,953,-70,262,971,-29,0
600546,50,1029,9,-263,953,-60,242,980,-48,0
600562,40,1039,0,-272,953,-50,242,980,-48,0
600578,40,1039,0,-263,972,-70,262,971,-48,0
600593,20,1049,0,-254,962,-50,252,990,-58,0
600609,40,1058,-9,-236,962,-60,252,980,-48,0
600625,40,1049,19,-263,962,-70,262,990,-48,0
600640,70,1068,29,-254,962,-80,252,990,-48,0
600656,90,1127,49,-272,962,-60,262,1009,-48,0
600671,90,1127,49,-263,972,-30,271,990,-19,0
600687,30,1098,69,-245,981,-40,281,990,-48,0
600703,-70,1058,49,-309,962,-60,320,1028,-48,0
600718,-70,1058,89,-481,907,-131,339,990,-67,0
600734,-70,1058,89,-581,851,-212,330,933,-87,0
600750,60,950,445,-600,861,-202,291,866,-135,0
600765,191,1029,455,-427,851,-111,252,838,-155,0
600781,90,1019,455,-272,962,-60,184,857,-145,0
600796,90,1019,455,-209,916,-70,126,933,-126,0
600812,-20,1039,316,-181,898,-10,97,990,-106,0
600828,70,1019,168,-27,833,121,126,1028,-97,0
