time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
250000,-161,1029,99,-190,981,171,58,1028,116,0
250015,-131,1019,89,-136,972,151,38,1000,106,0
250031,-121,1019,99,-100,981,111,9,990,155,0
250046,-111,1029,69,-81,981,90,29,1000,126,0
250062,-101,1019,59,-81,981,90,0,990,155,0
250078,-90,1039,59,-63,981,90,19,1019,145,0
250093,-90,1039,69,-54,981,90,9,1019,135,0
250109,-101,1029,79,-36,972,70,48,1009,165,0
250125,-101,1029,79,-45,990,60,48,1009,165,0
250140,-50,1068,79,-63,990,90,38,1019,165,0
250156,-121,1078,69,-118,1018,111,48,990,126,0
250171,-161,1029,59,-100,981,101,58,1009,145,0
250187,-141,1029,108,-200,972,131,38,1047,145,0
250203,-111,1029,69,-109,981,111,38,1019,97,0
250218,-111,1029,69,-90,972,90,38,1019,97,0
250234,-121,1039,69,-90,981,111,29,1028,116,0
250250,-111,1019,79,-100,981,80,19,1028,116,0
250265,-111,1019,69,-100,981,111,29,1019,106,0
250281,-131,1039,59,-109,972,101,19,1000,165,0
250296,-131,1029,69,-118,990,101,29,1038,145,0
250312,-121,1009,79,-100,972,90,19,1000,194,0
250328,-90,1029,89,-54,972,80,19,980,155,0
250343,-50,1049,89,-72,990,111,38,971,135,0
250359,-171,1039,89,-118,1000,121,38,990,155,0
250375,-141,1039,69,-163,981,121,48,1019,145,0
250390,-151,1019,59,-172,972,131,77,1000,165,0
250406,-131,1019,59,-127,972,80,58,1019,126,0
250421,-121,1039,79,-109,981,80,48,990,174,0
250437,-111,1029,69,-90,981,101,48,1028,165,0
250453,-80,1029,99,-81,972,101,38,1038,116,0
250468,-101,1049,79,-81,990,111,9,1047,116,0
250484,-101,1049,59,-109,990,111,0,1038,126,0
250500,-121,1039,69,-109,981,90,-19,1019,155,0
250515,-101,1019,49,-127,972,90,9,1000,155,0
250531,-121,1019,79,-118,990,101,9,990,155,0
250546,-121,1009,79,-109,972,111,19,1009,106,0
250562,-131,1019,79,-90,972,90,19,1000,135,0
250578,-121,1019,79,-100,962,101,48,1000,135,0
250593,-111,1029,79,-109,981,111,48,1009,116,0
250609,-111,1039,79,-118,990,90,58,1009,165,0
250625,-111,1039,79,-90,972,101,48,1028,135,0
250640,-101,1029,89,-90,981,90,58,1000,155,0
250656,-80,1029,79,-45,962,70,58,980,135,0
250671,-90,1019,69,-72,990,80,38,1000,135,0
250687,-40,1029,49,-72,990,80,38,1000,145,0
250703,-121,1039,79,-81,1000,90,48,1019,135,0
250718,-50,1049,29,-127,981,111,29,1019,174,0
250734,-151,1039,79,-127,1000,101,29,1019,165,0
250750,-101,1029,89,-118,990,121,38,1009,145,0
250765,-121,1039,108,-118,990,121,29,1009,135,0
250781,-121,1029,69,-109,990,111,29,1028,126,0
250796,-111,1029,79,-118,990,111,19,1019,155,0
250812,-80,1029,59,-100,972,101,9,1028,135,0
250828,-80,1029,59,-72,981,111,29,990,126,0
250843,-90,1029,79,-63,972,111,29,1000,135,0
250859,-80,1049,59,-127,972,111,67,1028,165,0
250875,-161,1039,49,-145,990,121,87,1000,145,0
250890,-121,1019,79,-136,981,131,48,980,145,0
250906,-101,1009,79,-100,962,131,48,990,97,0
250921,-80,1029,59,-63,972,80,48,1000,126,0
250937,-70,1049,79,-54,990,70,29,1009,155,0
250953,-70,1049,79,-54,1000,80,19,1038,165,0
250968,-80,1049,79,-18,972,90,9,1047,145,0
250984,-80,1029,49,-45,990,90,9,1019,135,0
251000,-101,1039,69,-81,981,70,19,1019,135,0
251015,-121,1019,69,-81,981,90,38,1009,126,0
251031,-101,1049,59,-127,990,101,29,1009,184,0
251046,-141,1049,49,-154,1000,111,29,1057,135,0
251062,-141,1039,79,-181,981,141,38,1009,155,0
251078,-141,1039,99,-163,972,151,58,1000,126,0
251093,-131,1039,79,-127,972,101,58,1000,135,0
251109,-101,1019,69,-109,972,111,48,1000,165,0
251125,-111,1039,69,-90,981,101,38,1028,155,0
251140,-90,1049,49,-81,990,70,38,1028,145,0
251156,-80,1039,59,-63,990,90,48,1028,174,0
251171,-101,1029,69,-54,972,90,38,1019,135,0
251187,-101,1029,69,-54,981,80,48,1009,145,0
251203,-111,1039,49,-90,990,90,48,1009,155,0
251218,-131,1049,59,-118,990,111,48,1019,135,0
251234,-121,1019,59,-127,990,101,48,1019,135,0
251250,-101,1029,69,-118,981,90,48,1000,116,0
251265,-141,1039,49,-118,981,121,29,1019,106,0
251281,-131,1039,69,-136,990,121,29,1009,135,0
251296,-131,1029,79,-118,962,131,29,1009,135,0
251312,-121,1039,69,-109,972,111,19,1009,135,0
251328,-121,1029,69,-109,962,111,0,1009,145,0
251343,-101,1019,69,-100,981,111,19,990,135,0
251359,-90,1029,59,-100,990,70,29,1028,145,0
251375,-101,1039,49,-72,1000,70,29,1028,145,0
251390,-101,1019,59,-100,981,111,38,1028,116,0
251406,-111,1039,79,-100,981,111,38,1019,126,0
251421,-121,1029,69,-81,972,101,38,1000,165,0
251437,-90,1039,39,-136,981,101,38,1000,165,0
251453,-141,1029,49,-127,981,111,38,1000,135,0
251468,-90,1019,59,-127,981,80,77,1009,155,0
251484,-90,1019,59,-109,972,101,48,1019,135,0
251500,-111,1029,59,-100,981,121,38,1028,126,0
251515,-101,1019,59,-100,981,121,38,1019,135,0
251531,-111,1029,59,-90,981,60,29,1009,126,0
251546,-121,1029,49,-100,962,101,29,1000,155,0
251562,-101,1049,69,-118,981,90,38,980,145,0
251578,-80,1068,59,-118,990,111,38,990,145,0
251593,-131,1039,69,-118,1000,121,19,1028,145,0
251609,-101,1029,69,-81,990,101,29,1019,155,0
251625,-121,1009,99,-90,990,111,19,1028,106,0
251640,-101,1029,59,-72,972,121,19,1028,97,0
251656,-111,1009,59,-100,990,90,19,1009,126,0
251671,-90,1019,49,-81,981,70,29,1000,116,0
251687,-111,1039,79,-90,990,80,19,990,126,0
251703,-121,1029,59,-72,972,60,29,990,135,0
251718,-101,1009,59,-81,981,90,58,1009,135,0
251734,-111,1039,49,-100,1000,80,48,1000,165,0
251750,-90,1009,69,-81,972,80,48,1000,145,0
251765,-80,1029,59,-54,981,80,58,1009,126,0
251781,-111,1029,99,-36,990,90,67,980,135,0
251796,-50,1078,69,-72,981,141,38,1009,145,0
251812,-191,1058,49,-136,981,151,48,1028,174,0
251828,-70,1039,49,-145,990,141,67,1028,155,0
251843,-50,1039,39,-163,972,131,67,1009,135,0
251859,-151,1039,69,-109,990,101,38,1019,97,0
251875,-121,1039,69,-100,990,101,38,1019,106,0
251890,-101,1019,49,-109,981,111,19,1028,116,0
251906,-90,1009,69,-90,972,70,9,1028,87,0
251921,-121,1049,49,-81,981,70,29,980,106,0
251937,-111,1029,69,-81,972,90,9,980,126,0
251953,-90,1019,59,-90,972,101,29,990,145,0
251968,-80,1029,89,-90,972,80,38,990,135,0
251984,-111,1039,69,-54,981,90,29,1009,135,0
252000,-151,1039,49,-54,1000,80,48,1019,106,0
252015,-131,1029,59,-118,1000,121,48,1038,155,0
252031,-101,1019,79,-90,990,90,48,1038,145,0
252046,-70,1029,69,-45,972,70,29,1000,145,0
252062,-101,1068,49,-72,990,111,38,1000,155,0
252078,-191,1078,59,-163,1009,111,58,1019,155,0
252093,-161,1039,49,-190,981,131,67,1019,155,0
252109,-111,1019,59,-190,962,151,77,1000,165,0
252125,-141,1029,59,-136,972,90,77,1000,165,0
252140,-101,1039,59,-145,981,111,67,1000,135,0
252156,-131,1039,79,-127,981,90,48,1009,145,0
252171,-111,1029,79,-118,981,90,29,1028,126,0
252187,-111,1019,59,-100,972,80,29,1028,126,0
252203,-111,1029,89,-72,972,80,29,1000,135,0
252218,-101,1029,59,-54,972,80,29,1000,135,0
252234,-70,1029,69,-54,990,90,29,1009,97,0
252250,-90,1029,49,-45,990,70,9,1028,126,0
252265,-101,1009,69,-45,990,90,19,1019,135,0
252281,-90,1029,49,-63,990,70,29,1028,145,0
