time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
670000,-90,1000,257,-245,962,10,-135,1019,-87,0
670015,-70,1000,247,-254,944,40,-116,990,-97,0
670031,-70,990,267,-245,972,50,-126,1009,-87,0
670046,-80,1009,287,-254,962,50,-126,1019,-97,0
670062,-70,1009,257,-245,953,30,-116,1000,-77,0
670078,-80,1000,257,-263,953,30,-116,1009,-97,0
670093,-90,1009,277,-245,953,50,-116,1000,-97,0
670109,-80,1009,277,-227,935,70,-106,1019,-116,0
670125,-80,1000,277,-236,953,20,-116,1009,-97,0
670140,-80,1009,257,-245,981,50,-106,990,-87,0
670156,-70,1009,277,-236,972,40,-97,1009,-97,0
670171,-70,1000,267,-254,972,50,-116,1000,-87,0
670187,-101,1009,267,-245,953,40,-116,1019,-97,0
670203,-70,1000,267,-254,962,30,-126,1000,-77,0
670218,-90,1009,257,-227,962,40,-116,1000,-87,0
670234,-80,1009,257,-245,962,40,-116,1009,-106,0
670250,-90,1009,257,-236,972,20,-97,1009,-67,0
670265,-90,1019,277,-245,953,50,-106,1009,-77,0
670281,-80,990,277,-263,962,30,-116,1019,-77,0
670296,-90,1009,267,-245,962,30,-116,1000,-87,0
670312,-80,1009,267,-263,944,30,-106,980,-67,0
670328,-70,1009,247,-263,944,30,-135,1019,-97,0
670343,-80,1009,277,-245,962,20,-97,1009,-97,0
670359,-80,1019,277,-263,953,30,-106,1009,-87,0
670375,-80,990,257,-254,972,30,-97,990,-77,0
670390,-90,1019,257,-236,953,30,-116,1009,-87,0
670406,-90,1009,267,-254,953,40,-116,1019,-87,0
670421,-90,1000,277,-263,962,30,-106,1000,-87,0
670437,-70,1009,277,-245,962,20,-97,971,-77,0
670453,-80,1000,267,-245,953,40,-116,1019,-106,0
670468,-80,1009,257,-245,953,40,-106,1009,-77,0
670484,-80,1000,287,-245,962,30,-116,1019,-67,0
670500,-80,1000,287,-254,962,30,-116,1009,-97,0
670515,-80,1000,267,-245,953,30,-106,1000,-87,0
670531,-90,1000,287,-263,962,50,-106,1000,-87,0
670546,-80,1009,277,-254,972,20,-106,980,-77,0
670562,-80,1009,277,-254,953,20,-116,1009,-97,0
670578,-90,990,277,-254,953,20,-106,1000,-87,0
670593,-90,1009,287,-254,962,20,-106,1000,-77,0
670609,-101,1009,257,-254,962,30,-106,1009,-77,0
670625,-101,1009,257,-254,962,30,-106,1009,-77,0
670640,-80,1000,277,-254,962,30,-106,1019,-97,0
670656,-90,990,267,-254,953,40,-116,1009,-97,0
670671,-70,1000,287,-254,962,50,-116,1009,-97,0
670687,-70,1000,287,-254,962,50,-116,1000,-97,0
670703,-80,1019,267,-254,962,40,-106,1009,-87,0
670718,-90,1009,257,-254,953,30,-126,1019,-87,0
670734,-90,1000,277,-263,953,40,-126,1019,-87,0
670750,-90,1000,277,-263,953,40,-106,1009,-77,0
670765,-101,1000,277,-245,953,40,-106,1019,-116,0
670781,-70,1000,287,-245,953,20,-106,1019,-97,0
670796,-70,1000,287,-254,953,40,-106,1019,-97,0
670812,-90,1000,267,-254,953,40,-87,990,-87,0
670828,-90,1009,267,-254,972,60,-106,1009,-87,0
670843,-90,1000,267,-245,962,20,-106,1009,-67,0
670859,-80,1000,287,-245,944,50,-106,1009,-67,0
670875,-80,1000,287,-263,953,50,-116,1009,-87,0
670890,-80,1000,277,-263,953,50,-106,1009,-87,0
670906,-70,1000,277,-236,953,30,-116,1019,-106,0
670921,-80,1009,277,-236,953,30,-116,1009,-87,0
670937,-70,1009,277,-254,953,30,-116,1009,-87,0
670953,-70,1009,277,-254,962,30,-106,1009,-116,0
670968,-80,1000,267,-254,962,20,-106,1000,-97,0
670984,-80,1009,277,-254,962,20,-126,1019,-67,0
671000,-90,1009,267,-245,944,40,-116,1019,-106,0
671015,-101,1009,257,-263,972,50,-106,1000,-87,0
671031,-80,1000,277,-254,962,30,-106,1000,-87,0
671046,-80,1000,277,-245,944,60,-116,1000,-87,0
671062,-101,1000,277,-254,962,40,-116,1009,-87,0
671078,-90,1000,267,-254,962,40,-106,1009,-58,0
671093,-90,1000,257,-254,962,20,-116,1000,-77,0
671109,-90,1009,277,-245,972,20,-97,1000,-97,0
671125,-60,1019,247,-245,953,40,-97,990,-77,0
671140,-60,1019,247,-245,962,50,-97,990,-77,0
671156,-80,990,277,-245,972,30,-116,1009,-77,0
671171,-80,1009,257,-236,944,50,-106,1009,-58,0
671187,-80,1000,277,-263,972,40,-106,1009,-77,0
671203,-80,1009,287,-263,972,40,-116,1028,-106,0
671218,-80,1000,267,-245,962,30,-116,1019,-106,0
671234,-90,1019,267,-263,972,0,-126,1000,-97,0
671250,-80,1009,257,-245,935,40,-126,1000,-97,0
671265,-70,1000,267,-263,962,30,-135,1000,-87,0
671281,-90,1009,277,-254,962,20,-116,1009,-106,0
671296,-90,1009,277,-245,962,40,-106,1000,-87,0
671312,-80,1009,287,-263,953,60,-106,1000,-67,0
671328,-101,1000,277,-254,962,50,-97,990,-77,0
671343,-80,1009,257,-245,962,40,-116,1009,-58,0
671359,-80,1009,297,-245,953,30,-126,1009,-97,0
671375,-80,1000,297,-245,953,30,-106,1019,-77,0
671390,-70,1009,267,-254,962,30,-116,1028,-97,0
671406,-90,1000,277,-254,962,20,-116,1028,-97,0
671421,-90,1000,277,-254,944,30,-106,990,-87,0
671437,-90,990,257,-263,962,10,-116,1009,-97,0
671453,-80,1000,277,-254,962,20,-116,1009,-106,0
671468,-70,1000,277,-245,962,30,-106,1000,-97,0
671484,-70,1000,277,-236,953,30,-116,1009,-77,0
671500,-90,1000,287,-236,944,30,-106,1019,-87,0
671515,-80,990,257,-245,962,30,-106,1009,-87,0
671531,-90,1000,257,-245,953,20,-106,1009,-87,0
671546,-90,1000,277,-254,962,30,-116,1009,-87,0
671562,-70,1009,267,-254,962,30,-116,1000,-58,0
671578,-70,1000,277,-245,972,50,-126,1019,-87,0
671593,-80,1009,267,-245,953,40,-116,1009,-97,0
671609,-80,990,267,-254,972,30,-106,1009,-77,0
671625,-90,1009,267,-263,962,60,-106,1009,-77,0
671640,-90,1009,277,-245,962,20,-126,1028,-97,0
671656,-70,1019,267,-245,953,40,-126,1019,-97,0
671671,-80,990,277,-245,953,50,-106,1000,-97,0
671687,-80,1009,267,-254,962,40,-126,1009,-97,0
671703,-80,1009,267,-245,953,30,-106,990,-77,0
671718,-70,1009,267,-254,962,40,-106,1009,-97,0
671734,-80,1000,257,-245,972,40,-106,1009,-87,0
671750,-70,1000,287,-254,981,20,-126,1009,-77,0
671765,-90,1029,287,-236,944,40,-106,1000,-116,0
671781,-90,1009,287,-254,972,40,-106,990,-67,0
671796,-90,1009,287,-254,962,40,-126,1000,-58,0
671812,-70,1009,267,-254,962,40,-116,1019,-97,0
671828,-80,1000,267,-245,962,30,-87,980,-97,0
671843,-90,1009,267,-245,953,50,-126,1009,-97,0
671859,-90,1019,267,-254,953,30,-116,1019,-97,0
671875,-80,1019,267,-254,962,30,-116,1019,-97,0
671890,-90,1000,267,-254,953,30,-106,1000,-97,0
671906,-70,990,267,-254,962,50,-116,1019,-77,0
671921,-90,1000,277,-254,972,30,-126,1019,-106,0
671937,-70,1009,257,-236,953,30,-106,1000,-87,0
