time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
250000,121,1029,108,81,962,191,67,1019,-29,0
250015,121,1029,108,72,962,181,38,1009,-19,0
250031,131,1029,118,63,981,171,87,1009,-38,0
250046,131,1019,118,54,990,191,77,1019,-19,0
250062,131,1029,118,54,981,171,67,1028,-19,0
250078,121,1029,108,45,962,191,58,1009,-19,0
250093,121,1029,118,27,972,202,77,1009,-29,0
250109,121,1029,118,36,972,161,77,1009,-9,0
250125,121,1029,128,81,972,181,67,1009,-48,0
250140,131,1029,128,81,972,181,67,1009,-19,0
250156,131,1029,108,72,962,181,58,1019,-29,0
250171,121,1019,99,72,981,171,77,1028,-48,0
250187,131,1019,108,63,972,181,67,1019,-29,0
250203,141,1029,118,63,972,181,67,1019,-38,0
250218,141,1029,118,54,972,191,67,1019,-38,0
250234,131,1029,108,81,972,161,67,1019,-58,0
250250,141,1039,108,81,962,171,67,1019,-58,0
250265,151,1019,118,63,972,181,67,1028,-29,0
250281,141,1029,118,72,972,171,77,1028,-48,0
250296,131,1019,138,54,972,171,87,1019,-77,0
250312,131,1019,108,45,972,171,77,1009,-38,0
250328,141,1019,118,45,981,191,67,1019,-58,0
250343,141,1029,118,63,981,171,67,1009,-58,0
250359,141,1029,128,72,972,161,77,1019,-38,0
250375,141,1019,108,54,972,161,67,1028,-58,0
250390,141,1029,99,63,972,151,77,1019,-48,0
250406,131,1029,99,63,962,181,67,1038,-77,0
250421,121,1039,118,45,972,171,77,1009,-58,0
250437,131,1039,89,63,972,171,48,1009,-38,0
250453,151,1029,108,54,981,161,58,1019,-48,0
250468,141,1029,108,72,953,171,58,1019,-48,0
250484,141,1029,99,54,981,181,67,1009,-38,0
250500,121,1029,108,45,972,161,58,1019,-19,0
250515,141,1039,79,54,972,151,58,1000,-38,0
250531,141,1009,108,45,981,161,58,1000,-38,0
250546,131,1019,99,54,981,181,58,990,-38,0
250562,141,1019,108,63,972,171,67,1019,-48,0
250578,131,1029,108,63,972,181,67,1000,-38,0
250593,141,1019,99,63,981,161,58,1028,-38,0
250609,151,1039,79,63,990,151,48,1009,-38,0
250625,151,1019,99,54,962,161,77,1009,-58,0
250640,141,1019,99,27,972,161,77,1019,-48,0
250656,131,1029,118,54,981,131,67,1019,-77,0
250671,121,1029,89,72,953,151,67,990,-48,0
250687,161,1009,89,63,981,141,67,1009,-48,0
250703,141,1029,89,45,981,151,67,1028,-38,0
250718,141,1039,89,63,972,161,67,1009,-48,0
250734,141,1029,89,54,981,161,58,1019,-67,0
250750,131,1029,89,54,981,161,77,1019,-67,0
250765,151,1029,118,54,981,141,67,1000,-58,0
250781,151,1029,108,81,962,161,58,1019,-48,0
250796,151,1019,108,54,981,161,67,1019,-58,0
250812,141,1029,79,54,972,151,77,1000,-58,0
250828,141,1029,99,54,981,151,67,1009,-48,0
250843,141,1019,99,45,972,151,58,1028,-67,0
250859,131,1029,99,45,981,171,77,1028,-67,0
250875,151,1039,99,45,981,141,58,1019,-58,0
250890,141,1009,89,54,981,161,58,1009,-58,0
250906,141,1029,89,45,972,151,67,1009,-87,0
250921,141,1019,89,45,981,141,48,1009,-48,0
250937,131,1039,99,45,972,171,48,1009,-67,0
250953,141,1039,99,45,972,171,48,1009,-58,0
250968,151,1019,89,45,981,161,58,1019,-48,0
250984,141,1019,99,27,981,161,48,1028,-58,0
251000,131,1019,89,54,981,151,67,1009,-67,0
251015,141,1019,79,72,972,151,58,1019,-58,0
251031,161,1039,69,72,981,151,67,1009,-38,0
251046,161,1029,89,81,981,131,58,1000,-58,0
251062,151,1029,108,54,981,141,58,1009,-77,0
251078,141,1029,99,63,972,161,67,1009,-48,0
251093,131,1009,79,54,972,151,77,1000,-58,0
251109,151,1019,79,54,972,151,48,1019,-48,0
251125,131,1029,99,45,981,161,67,1019,-58,0
251140,141,1029,59,54,981,131,67,1000,-38,0
251156,141,1029,89,63,962,151,58,1000,-58,0
251171,141,1029,69,45,972,161,58,1009,-77,0
251187,161,1009,89,45,972,161,67,1009,-67,0
251203,141,1019,79,54,981,151,48,1019,-38,0
251218,141,1029,79,36,990,151,67,1009,-77,0
251234,131,1009,69,54,972,171,67,1019,-77,0
251250,121,1039,79,54,972,171,58,1028,-48,0
251265,141,1029,89,45,981,131,58,1019,-67,0
251281,141,1029,69,45,972,141,48,1000,-77,0
251296,151,1019,69,63,990,141,48,1019,-67,0
251312,141,1009,89,63,981,141,38,1009,-48,0
251328,141,1009,89,63,981,141,48,1009,-77,0
251343,131,1029,89,45,972,161,58,1019,-77,0
251359,151,1029,59,54,981,141,67,1009,-58,0
251375,141,1019,89,54,972,131,67,1019,-48,0
251390,151,1039,49,36,981,141,58,1019,-48,0
251406,141,1039,89,45,981,151,48,1009,-67,0
251421,161,1019,69,45,981,141,58,1000,-67,0
251437,131,1019,69,54,972,131,48,1028,-58,0
251453,121,1019,79,45,981,161,48,1028,-58,0
251468,111,1029,79,36,981,131,67,1000,-48,0
251484,151,1029,59,54,962,141,38,1009,-67,0
251500,151,1029,89,36,972,161,58,1019,-48,0
251515,151,1029,59,63,981,121,58,1019,-48,0
251531,141,1029,69,63,981,151,58,1000,-38,0
251546,131,1019,59,45,990,131,77,1000,-58,0
251562,161,1009,79,45,981,151,58,1028,-58,0
251578,131,1019,89,45,981,131,48,1009,-38,0
